epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,16219.1,0.56925,2.27176,0.22219,0.34422,1.04552,0.97707,0.98247,0.99155,0.91231,0.87434,0.85106,0.86851,0.74158,0.50472,1.73235,0.04366,0.24502,0.94757,0.001486,0.001486,0.001486
88,16360.8,0.56768,2.25183,0.21995,0.34168,1.04326,0.97739,0.98233,0.99154,0.91248,0.87445,0.85169,0.8688,0.74198,0.50409,1.72976,0.04362,0.24471,0.94715,0.001387,0.001387,0.001387
89,16500.7,0.56288,2.22237,0.21874,0.33967,1.04231,0.97754,0.98245,0.99156,0.9127,0.8753,0.8522,0.86941,0.74259,0.50362,1.7261,0.04357,0.24441,0.94675,0.001288,0.001288,0.001288
90,16644.5,0.56486,2.24685,0.21852,0.34522,1.04384,0.97769,0.98271,0.99166,0.91292,0.87608,0.85246,0.86969,0.74326,0.50291,1.7231,0.04348,0.24408,0.94617,0.001189,0.001189,0.001189
91,16807.7,0.45833,1.63536,0.07262,0.24617,0.97916,0.97744,0.98271,0.9916,0.91333,0.87753,0.85323,0.87008,0.7437,0.50212,1.71937,0.04321,0.24362,0.94555,0.00109,0.00109,0.00109
92,16942.3,0.45,1.58589,0.06956,0.24196,0.97376,0.9778,0.98258,0.99167,0.91343,0.87799,0.85249,0.87007,0.7444,0.50118,1.71388,0.0428,0.24296,0.94484,0.000991,0.000991,0.000991
93,17097.1,0.44319,1.54926,0.06689,0.23674,0.97101,0.97804,0.98284,0.99169,0.91376,0.87767,0.85366,0.87063,0.74518,0.50027,1.70942,0.04238,0.24261,0.94425,0.000892,0.000892,0.000892
94,17245.8,0.4369,1.53676,0.06683,0.23544,0.96698,0.97803,0.98271,0.99172,0.91399,0.87728,0.85412,0.87086,0.7457,0.49927,1.70427,0.04197,0.2422,0.94354,0.000793,0.000793,0.000793
95,17394.1,0.43008,1.51084,0.06667,0.23082,0.96175,0.97828,0.98258,0.99171,0.91413,0.87788,0.85527,0.87136,0.74625,0.4982,1.69819,0.04158,0.2416,0.94278,0.000694,0.000694,0.000694
96,17602.2,0.42983,1.47807,0.06599,0.22985,0.96304,0.97822,0.98245,0.99175,0.91465,0.87847,0.85566,0.8734,0.74753,0.4971,1.69272,0.04122,0.24096,0.942,0.000595,0.000595,0.000595
97,17818.5,0.4256,1.46102,0.06521,0.22504,0.95906,0.97823,0.98271,0.99177,0.91493,0.87941,0.8565,0.8739,0.74791,0.49608,1.68726,0.0408,0.24051,0.94125,0.000496,0.000496,0.000496
98,18020.3,0.4212,1.43945,0.06377,0.2241,0.95687,0.97821,0.98298,0.99179,0.91518,0.88024,0.8563,0.87467,0.74933,0.49499,1.68131,0.04042,0.24001,0.94049,0.000397,0.000397,0.000397
99,18187.9,0.41625,1.4253,0.06443,0.22016,0.95506,0.97836,0.98322,0.99183,0.9154,0.88159,0.85694,0.87639,0.7504,0.49395,1.67512,0.04004,0.23946,0.93977,0.000298,0.000298,0.000298
100,18361.3,0.41344,1.40743,0.06382,0.21999,0.95196,0.97845,0.98286,0.99184,0.91549,0.88194,0.85724,0.87683,0.75102,0.49287,1.6693,0.03962,0.23884,0.93896,0.000199,0.000199,0.000199
